location_code,location_name,average_rating
K670,Benjamin Banneker Academy,7.8125
K671,Mott Hall Bridges Academy,5.666666666666667
K672,New Eagle Academy at K455,7.666666666666667
K673,East Brooklyn Community High School,7.25
K674,"City Polytechnic High School of Engineering, Archi",8.285714285714286
K674,"City Polytechnic High School of Engineering, Archi",8.285714285714286
K676,Red Hook Neighborhood School,7.470588235294118
K677,East New York Elementary School of Excellence,
K678,East New York Middle School of Excellence,
K680,Achievement First Aspire Charter School,6.666666666666667
K681,Madiba Prep Middle School,8.0
K681,Madiba Prep Middle School,8.0
K682,The Academy of Talented Scholars,
K683,School for Classics High School,8.666666666666666
K684,Millennium Brooklyn HS,7.714285714285714
K685,El Puente Academy for Peace and Justice,8.0
K686,Brooklyn School of Inquiry,
K688,The Brooklyn Academy of Global Finance,8.0
K689,Citizens of the World Charter School 1 Williamsbur,7.142857142857143
K690,Brooklyn Studio Secondary School,8.5
K691,Fort Greene Preparatory Academy,7.8
K692,Citizens of the World Charter School New York 2 Cr,8.0
K693,Northside Charter High School,7.142857142857143
K694,Believe Southside Charter High School,7.142857142857143
K697,Teachers Preparatory High School,5.666666666666667
K698,South Brooklyn Community High School,7.384615384615385
K701,Brooklyn Charter School,7.0
K702,Community Partnership Charter School,7.428571428571429
K703,Beginning With Children Charter School,7.2
K704,Explore Charter School,8.0
K705,Brooklyn Arts and Science Elementary School,7.166666666666667
K707,Brooklyn Prospect Charter School,7.666666666666667
K710,Brownsville Collegiate Charter School,5.666666666666667
K711,Leadership Preparatory Brownsville Charter School,7.166666666666667
K712,Excellence Girls Charter School,8.333333333333334
